0.00045,5
0.00056,32
0.00071,44
0.00089,36
0.00112,82
0.00141,119
0.00178,96
0.00224,212
0.00282,598
0.00355,0
0.00447,23
0.00562,0
0.00708,1
0.00891,0
0.01122,24
0.01413,28
0.01778,0
0.02239,5
0.02818,11
0.03548,4
0.04467,0
0.05623,2
0.07079,0
0.08913,0
0.11220,4
0.14125,0
0.17783,4
0.22387,3
0.28184,0
0.35481,18
0.44668,3
0.56234,12
0.70795,15
0.89125,9
1.12202,4
1.41254,17
1.77828,58
2.23872,23
2.81838,34
3.54813,126
4.46684,80
5.62341,185
7.07946,51
8.91251,377
11.22018,1444
14.12538,1042
17.78279,3526
22.38721,6478
28.18383,3233
35.48134,6782
